Filter Name,50% a,50% b,50% x0,50% c,90% a,90% b,90% x0,90% c,95% a,95% b,95% x0,95% c
WFC3 UVIS F225W,23.916422385222045,-5.0,-1.3402592969709197,1.218573629004313,23.671037169510385,-5.0,-1.3753995149012135,1.3035114363618832,23.753334821572544,-5.0,-1.5011476763406963,1.763222925692625
WFC3 UVIS F275W,23.65611674048313,-5.0,-1.3493835613943748,1.2284881997439887,23.52773535479979,-5.0,-1.4858809001933475,1.6486231147563088,23.538056986174794,-5.0,-1.600241159457927,2.0436175074443264
WFC3 UVIS F300X,24.326758292935555,-5.0,-1.3463138604145846,1.229255305245456,24.125125365766696,-5.0,-1.423529871160151,1.4541929777666756,24.19394354689033,-5.0,-1.5596176935934813,1.9441536008545035
WFC3 UVIS F336W,24.36732228544096,-5.0,-1.350840860188943,1.2277250053840147,24.17510408147282,-5.0,-1.5704988600279124,1.7012498960371303,24.080839044844026,-5.0,-1.5932033616782397,2.060980828564101
WFC3 UVIS F390W,24.999308688115427,-4.999452310704032,-1.3455122472068899,1.2143316979518515,24.851269689277892,-5.0,-1.4401141433966518,1.5118788597769328,24.916395437281906,-5.0,-1.5653169076742124,1.9768317948401535
WFC3 UVIS F438W,24.508329021882442,-4.998236017638113,-1.3476402072221703,1.2141028076564853,24.375690197427108,-5.0,-1.4696445147690027,1.615316165005264,24.404776035525604,-5.0,-1.6150413197045823,2.1670314423113655
WFC3 UVIS F475W,25.378278202821026,-5.0,-1.355089222305688,1.233670959908699,25.288026342070353,-5.0,-1.5870118547377847,2.0531810728600224,24.89794661639277,-5.0,-1.69950004040253,2.513542738329354
WFC3 UVIS F475X,25.231655351072117,-5.0,-1.349325062649825,1.2172834301553546,25.043256004867313,-5.0,-1.5605662898469868,1.9414752132402457,24.987675800757778,-5.0,-1.7049780253430993,2.541376775931044
WFC3 UVIS F555W,24.601578061359746,-5.0,-1.3585450826349879,1.2331501857453004,24.3048525634745,-4.978808429203223,-1.6902244900764243,2.2772639509107004,22.78685315626143,-4.884409049877877,-1.576796842142158,1.947797017493059
WFC3 UVIS F606W,25.556914077582068,-4.994900235958012,-1.35899246380023,1.2283659571032812,25.506608220442924,-5.0,-1.5950077708154091,2.0698810052758123,25.390241299253,-5.0,-1.7674788503306578,2.792219313574348
WFC3 UVIS F625W,24.921557208781355,-5.0,-1.353581267568195,1.2247572414884391,24.706335370227507,-5.0,-1.6021355044058359,1.978476765467643,24.062257990688952,-5.0,-1.7151475100872853,2.5830344860127448
WFC3 UVIS F775W,24.16284157853683,-5.0,-1.3484971213573664,1.2235641091561857,24.032230380295232,-5.0,-1.5217224444134105,1.813253497744545,23.717587000021446,-4.906346873481502,-1.6459140955997773,2.2336626095421432
WFC3 UVIS F814W,24.44474398781136,-5.0,-1.3582951184071446,1.24318844315637,24.07585442865401,-4.991302942614992,-1.5493527589500173,2.0494236016424425,24.019964010387557,-5.0,-1.6789518704359612,2.3413380592116475
WFC3 UVIS F850LP,22.862429017523407,-4.999696521531597,-1.3418037755730317,1.2152861772616528,22.68109138847185,-5.0,-1.4337358171682324,1.5057804243153454,22.61326331706508,-4.953629292145453,-1.5146951988821147,1.8872979025872694
